Date,yield_pct,daily_change,vol_21d
2018-01-02,2.4649999141693115,,
2018-01-03,2.447000026702881,-0.017999887466430664,
2018-01-04,2.453000068664551,0.006000041961669922,
2018-01-05,2.4760000705718994,0.023000001907348633,
2018-01-08,2.4800000190734863,0.003999948501586914,
2018-01-09,2.5460000038146973,0.06599998474121094,
2018-01-10,2.549999952316284,0.003999948501586914,
2018-01-11,2.5309998989105225,-0.01900005340576172,
2018-01-12,2.552000045776367,0.021000146865844727,
2018-01-16,2.5439999103546143,-0.00800013542175293,
2018-01-17,2.578000068664551,0.03400015830993652,
2018-01-18,2.6110000610351562,0.03299999237060547,
2018-01-19,2.63700008392334,0.026000022888183594,
2018-01-22,2.6649999618530273,0.0279998779296875,
2018-01-23,2.624000072479248,-0.0409998893737793,
2018-01-24,2.6540000438690186,0.029999971389770508,
2018-01-25,2.621000051498413,-0.03299999237060547,
2018-01-26,2.6619999408721924,0.0409998893737793,
2018-01-29,2.6989998817443848,0.03699994087219238,
2018-01-30,2.7260000705718994,0.02700018882751465,
2018-01-31,2.7200000286102295,-0.006000041961669922,
2018-02-01,2.7730000019073486,0.05299997329711914,0.027950541950780786
2018-02-02,2.8540000915527344,0.08100008964538574,0.030406381118800223
2018-02-05,2.7939999103546143,-0.06000018119812012,0.03493268261454
2018-02-06,2.7679998874664307,-0.026000022888183594,0.03607620222957481
2018-02-07,2.8440001010894775,0.07600021362304688,0.038432232199339195
2018-02-08,2.8510000705718994,0.006999969482421875,0.036819358601181545
2018-02-09,2.8289999961853027,-0.02200007438659668,0.037619380267072115
2018-02-12,2.8570001125335693,0.0280001163482666,0.036995477313985274
2018-02-13,2.8399999141693115,-0.017000198364257812,0.03763798963225754
2018-02-14,2.9130001068115234,0.07300019264221191,0.03941017499275897
2018-02-15,2.8910000324249268,-0.02200007438659668,0.04013097620175979
2018-02-16,2.877000093460083,-0.01399993896484375,0.040381158387188004
2018-02-20,2.8929998874664307,0.015999794006347656,0.04027488566817442
2018-02-21,2.943000078201294,0.05000019073486328,0.040986533019665705
2018-02-22,2.9170000553131104,-0.026000022888183594,0.04011550476909533
2018-02-23,2.871000051498413,-0.046000003814697266,0.04198022759238835
2018-02-26,2.8589999675750732,-0.012000083923339844,0.04113805704686225
2018-02-27,2.9079999923706055,0.04900002479553223,0.041462285388013234
2018-02-28,2.868000030517578,-0.039999961853027344,0.04250593428822559
2018-03-01,2.803999900817871,-0.06400012969970703,0.045040222239715814
2018-03-02,2.8570001125335693,0.05300021171569824,0.04622845679413849
2018-03-05,2.88100004196167,0.023999929428100586,0.04519222157117036
2018-03-06,2.877000093460083,-0.003999948501586914,0.04173245821854819
2018-03-07,2.882999897003174,0.00599980354309082,0.03931662332611563
2018-03-08,2.865999937057495,-0.01699995994567871,0.039018451667230176
2018-03-09,2.8940000534057617,0.0280001163482666,0.035913125636129355
2018-03-12,2.869999885559082,-0.024000167846679688,0.036348258275753456
2018-03-13,2.8480000495910645,-0.021999835968017578,0.03634825076382554
2018-03-14,2.816999912261963,-0.031000137329101562,0.03642932061156462
2018-03-15,2.8259999752044678,0.009000062942504883,0.036332327464757064
2018-03-16,2.8480000495910645,0.02200007438659668,0.03268323572482025
2018-03-19,2.8450000286102295,-0.003000020980834961,0.032395450074579606
2018-03-20,2.878999948501587,0.03399991989135742,0.03320381863971714
2018-03-21,2.9070000648498535,0.0280001163482666,0.033592217425461604
2018-03-22,2.8320000171661377,-0.07500004768371582,0.035437514126367184
2018-03-23,2.8299999237060547,-0.002000093460083008,0.03512166895368717
2018-03-26,2.8429999351501465,0.013000011444091797,0.0339460811926311
2018-03-27,2.7860000133514404,-0.056999921798706055,0.036010616278199285
2018-03-28,2.7750000953674316,-0.010999917984008789,0.033960797265528274
2018-03-29,2.740999937057495,-0.03400015830993652,0.033687543776818124
2018-04-02,2.7320001125335693,-0.008999824523925781,0.03098643688177005
2018-04-03,2.7839999198913574,0.051999807357788086,0.03089598305840533
2018-04-04,2.7880001068115234,0.004000186920166016,0.030309360716914365
2018-04-05,2.8320000171661377,0.04399991035461426,0.032100285929123284
2018-04-06,2.7750000953674316,-0.056999921798706055,0.03417788974207072
2018-04-09,2.7860000133514404,0.010999917984008789,0.03423830290008581
2018-04-10,2.796999931335449,0.010999917984008789,0.03364441407308828
2018-04-11,2.7899999618530273,-0.006999969482421875,0.03335806567067774
2018-04-12,2.8340001106262207,0.04400014877319336,0.03464293527311891
2018-04-13,2.8289999961853027,-0.005000114440917969,0.03396257346693024
2018-04-16,2.8320000171661377,0.003000020980834961,0.033913323231383914
2018-04-17,2.813999891281128,-0.018000125885009766,0.03375569380771776
2018-04-18,2.867000102996826,0.05300021171569824,0.035791730861748805
2018-04-19,2.9140000343322754,0.04699993133544922,0.036495666256409806
2018-04-20,2.9509999752044678,0.03699994087219238,0.0368712664129646
2018-04-23,2.9730000495910645,0.02200007438659668,0.03255324656449153
2018-04-24,2.9830000400543213,0.009999990463256836,0.03249790409645455
2018-04-25,3.0239999294281006,0.0409998893737793,0.033308358189069985
2018-04-26,2.990000009536743,-0.03399991989135742,0.03136420832844192
2018-04-27,2.9570000171661377,-0.03299999237060547,0.03243967849405943
