Date,yield_pct,daily_change,vol_21d,asx_close,asx_open,asx_return,target_open_return,target_direction,regime,regime_label,prob_state_0,prob_state_1,prob_state_2
2018-02-01,2.7730000019073486,0.0529999732971191,0.0279505419507807,19.71291160583496,19.71291160583496,0.012899571031451782,0.0014888054985116213,1.0,0,stable,1.0,1.0521728996099337e-53,8.535597361975726e-93
2018-02-02,2.8540000915527344,0.0810000896453857,0.0304063811188002,20.11832618713379,19.742282155117948,0.020357317757235645,-0.009979403176883575,0.0,0,stable,0.9999890684063723,1.0931593066882431e-05,3.386745377566329e-35
2018-02-05,2.7939999103546143,-0.0600001811981201,0.03493268261454,19.59539222717285,19.918555751627906,-0.026336702128574457,-0.039760608116501235,0.0,0,stable,0.9999598188256816,4.018116068743636e-05,1.3288724584109404e-11
2018-02-06,2.7679998874664307,-0.0260000228881835,0.0360762022295748,18.8256778717041,18.831553489413498,-0.04007266598930297,0.0024938726059789756,1.0,0,stable,0.9999560612735842,4.393863533973692e-05,9.089420170486309e-11
2018-02-07,2.844000101089477,0.0760002136230468,0.0384322321993391,19.15471839904785,18.872685304949183,0.017327294713706923,-0.018576278172153442,0.0,0,stable,0.9998280131215864,0.0001719867446419074,1.3374945119018178e-10
2018-02-08,2.8510000705718994,0.0069999694824218,0.0368193586011815,18.75517463684082,18.802179588986206,-0.021079381900138135,-0.0228148829066212,0.0,0,stable,0.9999524208292899,4.757905132762729e-05,1.1915191956257412e-10
2018-02-09,2.8289999961853027,-0.0220000743865966,0.0376193802670721,18.449636459350586,18.3321218242219,-0.01642502878011245,-0.007031207521742167,0.0,0,stable,0.9999446097288076,5.5390223418785645e-05,4.841351359241835e-11
2018-02-12,2.8570001125335693,0.0280001163482666,0.0369954773139852,18.39087677001953,18.320368225156326,-0.003189952256768043,-0.00031933374857097684,0.0,0,stable,0.9999396699086335,6.032989996566744e-05,1.9142329725024318e-10
2018-02-13,2.8399999141693115,-0.0170001983642578,0.0376379896322575,18.261615753173828,18.38500487999728,-0.0070533567481876796,0.0067340229996168,1.0,0,stable,0.9997938896482524,0.00020610958360310974,7.676519446420267e-10
2018-02-14,2.9130001068115234,0.0730001926422119,0.0394101749927589,18.261615753173828,18.38500487999728,0.0,0.0,0.0,0,stable,0.9989030404689984,0.0010969511476379983,8.38253924255132e-09
2018-02-15,2.8910000324249268,-0.0220000743865966,0.0401309762017597,18.261615753173828,18.261615753173828,0.0,0.0,0.0,0,stable,0.998095368885434,0.0019046092263442702,2.188762556669153e-08
2018-02-16,2.877000093460083,-0.0139999389648437,0.040381158387188,18.261615753173828,18.261615753173828,0.0,-0.06054729097688648,0.0,0,stable,0.9960729814942031,0.003926974450034575,4.405586745649129e-08
2018-02-20,2.8929998874664307,0.0159997940063476,0.0402748856681744,17.32567024230957,17.188732229511253,0.016283309350388853,0.008213619031294498,1.0,0,stable,0.9911898371176983,0.00881005332982651,1.0955188347871858e-07
2018-02-21,2.943000078201294,0.0500001907348632,0.0409865330196657,17.516193389892578,17.468562726018412,0.01093655888234028,-0.01306985357368013,0.0,0,stable,0.9779329949365062,0.022066680163441592,3.249008459990079e-07
2018-02-22,2.9170000553131104,-0.0260000228881835,0.0401155047690953,17.30699920654297,17.28874887803521,-0.012014791537958536,0.0035087250235309587,1.0,0,stable,0.9602725935619447,0.03972679305373123,6.133843457181632e-07
